cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
1,6.3900,swingup,-6.00,-3.0025,1.3260,-173.90,-66.37,-0.4823,0.3481,2.5311
2,6.3900,swingup,6.00,0.9184,3.2037,-164.13,35.17,-0.4894,-2.9651,6.7239
1,6.4900,swingup,-6.00,-2.8782,0.7628,153.07,-117.14,1.6997,1.4793,-20.0512
2,6.4900,swingup,6.00,1.2399,2.9643,161.86,31.29,0.8114,1.4154,-9.3814
1,6.5900,swingup,-6.00,-2.8481,0.5613,151.59,159.75,-1.0506,0.8220,16.0475
2,6.5900,swingup,6.00,1.4989,2.1957,130.71,55.51,0.5328,0.2913,-5.9983
1,6.6900,swingup,-6.00,-2.7162,1.5197,170.52,75.30,-0.5505,0.5983,5.6332
2,6.6900,swingup,6.00,1.7215,2.5132,90.77,111.67,-0.7689,-1.3786,-6.0744
1,6.7900,swingup,-6.00,-2.5046,2.2566,154.73,3.69,1.0291,-0.9244,-13.6775
2,6.7900,swingup,6.00,1.9657,2.0658,71.63,160.02,-0.7149,0.7882,-8.5254
1,6.8900,swingup,-6.00,-2.3042,1.8400,115.36,-77.46,-0.3035,-1.6881,-3.6368
2,6.8900,swingup,6.00,2.1492,1.6083,81.89,-159.99,-2.5366,0.6748,-9.1846
1,6.9900,swingup,-6.00,-2.1566,1.1434,97.85,-151.73,0.6385,0.8849,-4.4824
2,6.9900,swingup,6.00,2.2858,1.1764,113.25,-127.33,0.1862,-2.1206,-6.2920
1,7.0900,swingup,-6.00,-2.0564,1.2755,130.90,131.38,-1.6241,1.6607,8.8059
2,7.0900,swingup,6.00,2.3820,0.6498,151.23,-122.32,0.3079,-2.0483,-7.9033
1,7.1900,swingup,-6.00,-1.8871,1.6364,174.89,65.96,-1.2833,-1.4345,6.3306
2,7.1900,swingup,6.00,2.4070,-0.5403,-168.17,-156.74,1.3147,3.1304,-16.7625
1,7.2900,swingup,-6.00,-1.7006,1.9766,-157.09,30.52,-1.4681,1.0301,-0.3146
2,7.2900,swingup,6.00,2.3265,-0.2007,-136.13,158.62,-2.0271,1.4646,22.6110
1,7.3900,swingup,-6.00,-1.5094,1.8321,-133.24,-0.85,-2.6501,0.3279,-1.5985
2,7.3900,swingup,6.00,2.3828,1.2800,-113.51,148.48,-2.5739,0.3309,10.1392
1,7.4900,swingup,-6.00,-1.3422,1.3688,-113.92,-37.98,-3.0045,-0.6015,-7.4256
2,7.4900,swingup,6.00,2.5255,1.2333,-97.00,157.15,1.9147,1.6515,-4.3483
1,7.5900,swingup,-6.00,-1.2475,0.3412,-95.15,-81.16,-3.0904,-1.8337,-10.7972
2,7.5900,swingup,6.00,2.6352,0.9785,-92.81,165.79,-0.2216,1.3854,-1.8544
1,7.6900,swingup,-6.00,-1.2685,-0.7467,-84.04,-127.37,0.4046,-1.4818,-6.9883
2,7.6900,swingup,6.00,2.7264,0.8652,-100.60,173.57,-2.2791,1.5014,1.1493
1,7.7900,swingup,-6.00,-1.3732,-1.3474,-95.29,-170.69,2.2474,-0.9803,-4.9026
2,7.7900,swingup,6.00,2.8054,0.2607,-121.02,-174.66,1.4028,2.2228,-12.2739
1,7.8900,swingup,-6.00,-1.5268,-1.4756,-132.35,157.95,-1.7917,-2.7173,15.3038
2,7.8900,swingup,6.00,2.8005,0.1267,-160.07,-152.29,-1.3924,-0.9785,14.6424
1,7.9900,swingup,-6.00,-1.5893,0.7181,179.05,174.15,-1.9779,0.4239,23.6856
2,7.9900,swingup,6.00,2.8241,-0.0555,163.22,-136.83,0.3517,0.1877,-9.5936
1,8.0900,swingup,-6.00,-1.4840,0.6301,142.72,-158.06,0.8351,2.1535,-17.3107
2,8.0900,swingup,6.00,2.7813,-0.8927,131.54,-153.98,1.3632,0.7216,-12.0324
1,8.1900,swingup,-6.00,-1.4841,-0.6798,113.68,-164.80,1.7169,2.5911,-12.5988
2,8.1900,swingup,6.00,2.6591,-1.0374,115.75,159.46,-0.1889,-3.0418,3.4410
1,8.2900,swingup,-6.00,-1.5872,-1.1517,96.66,162.58,-1.2855,-0.2888,-0.6478
2,8.2900,swingup,6.00,2.5643,-0.3810,130.34,97.42,-2.5744,1.7470,18.9558
1,8.3900,swingup,-6.00,-1.7044,-1.2190,103.17,119.34,-3.0596,-2.3993,5.7636
2,8.3900,swingup,6.00,2.6143,1.4596,150.07,43.55,-2.9713,-2.5080,15.8675
1,8.4900,swingup,-6.00,-1.7812,-0.1663,127.81,71.61,-1.8926,-0.9006,10.9924
2,8.4900,swingup,6.00,2.8255,2.7889,169.76,-8.38,-2.5501,-3.1335,8.3746
1,8.5900,swingup,-6.00,-1.7432,0.9650,155.54,38.01,-0.8173,1.6223,5.6122
2,8.5900,swingup,6.00,3.1127,2.6073,-163.17,-63.16,-0.7888,2.4136,-11.7863
1,8.6900,swingup,-6.00,-1.6394,0.8192,-167.95,25.17,0.4815,-0.2775,-6.4164
2,8.6900,swingup,6.00,3.2870,0.1761,-124.86,-138.42,0.5119,-3.0465,-17.1231
1,8.7900,swingup,-6.00,-1.5809,0.5042,-133.56,25.38,-1.1652,-0.5653,5.3375
2,8.7900,swingup,6.00,3.2360,-0.8979,-119.97,148.46,2.7598,1.0575,-24.2981
1,8.8900,swingup,-6.00,-1.5157,0.6934,-111.41,13.73,2.8981,-2.8795,-9.8609
2,8.8900,swingup,6.00,3.1134,-0.6736,-163.44,92.66,-2.2881,0.2421,20.1806
1,8.9900,swingup,-6.00,-1.4814,0.0213,-100.78,-1.31,1.0491,-2.4334,-4.1261
2,8.9900,swingup,6.00,3.1009,0.1921,153.40,84.28,-0.8206,1.7722,-0.2773
1,9.0900,swingup,-6.00,-1.4932,-0.2362,-100.26,-14.52,-0.6886,-2.2783,-0.9500
2,9.0900,swingup,6.00,3.1303,0.5123,110.18,114.43,-1.4824,1.1237,-5.3889
1,9.1900,swingup,-6.00,-1.5178,-0.1959,-109.20,-29.40,-2.1890,-3.0692,3.1653
2,9.1900,swingup,6.00,3.1695,0.0711,79.27,144.24,2.7536,-2.8830,-6.0813
1,9.2900,swingup,-6.00,-1.5198,0.2837,-123.43,-54.03,-2.4003,0.7159,8.1230
2,9.2900,swingup,6.00,3.1339,-0.9295,68.73,156.92,-0.5518,1.4640,-7.6549
1,9.3900,swingup,-6.00,-1.4683,0.6106,-131.96,-96.54,-0.6000,-2.6774,-1.7075
2,9.3900,swingup,6.00,3.0198,-1.2359,72.63,164.85,1.5997,1.5209,1.3510
1,9.4900,swingup,-6.00,-1.4362,0.0426,-135.10,-154.92,-1.5878,2.5261,9.5731
2,9.4900,swingup,6.00,2.9039,-1.1344,87.97,174.41,-2.6819,1.4593,-1.6215
1,9.5900,swingup,-6.00,-1.4454,-0.6216,-161.69,160.90,-1.1922,0.7942,12.8311
