cart_id,t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u
1,8.8900,swingup,-6.00,-2.9826,-0.6371,-178.22,-11.16,0.5926,1.9301,0.4568
2,8.8900,swingup,6.00,1.2377,-0.1248,-97.50,-115.84,1.3807,3.0062,6.8402
1,8.9900,swingup,-6.00,-3.0444,-0.6052,-174.59,-38.16,0.7057,1.1954,-0.2993
2,8.9900,swingup,6.00,1.2238,-0.1794,-128.70,-66.52,1.5916,0.2550,-1.4350
1,9.0900,swingup,-6.00,-3.1105,-0.8015,-169.38,-70.80,1.1201,0.0049,-4.3396
2,9.0900,swingup,6.00,1.1873,-0.5674,-156.04,-39.66,1.0816,-3.1249,0.0679
1,9.1900,swingup,-6.00,-3.2186,-1.5599,-160.70,-113.25,1.9184,-2.3551,-11.3254
2,9.1900,swingup,6.00,1.1396,-0.1646,170.13,-36.26,0.0575,-1.5559,7.2636
1,9.2900,swingup,-6.00,-3.4319,-2.6410,-149.53,-172.35,0.9171,2.1895,8.8895
2,9.2900,swingup,6.00,1.1524,0.3451,136.30,-54.48,0.7630,2.2032,-1.5518
1,9.3900,swingup,-6.00,-3.6215,-0.6389,-151.64,145.63,-0.5158,1.3479,23.0215
2,9.3900,swingup,6.00,1.1845,0.2329,108.34,-80.93,2.0228,1.3431,-3.5514
1,9.4900,swingup,-6.00,-3.6060,0.8743,-152.22,128.74,0.1440,-1.6000,9.3410
2,9.4900,swingup,6.00,1.2031,0.2365,90.19,-109.96,-2.0998,1.3064,1.8802
1,9.5900,swingup,-6.00,-3.4862,1.5191,-151.16,127.10,0.1394,0.7286,5.4534
2,9.5900,swingup,6.00,1.2302,0.3275,86.87,-136.15,0.7101,2.1246,2.5350
1,9.6900,swingup,-6.00,-3.3121,2.0299,-151.58,138.22,-0.3108,2.9635,6.6627
2,9.6900,swingup,6.00,1.2711,0.4569,99.55,-158.37,-2.9120,2.2799,7.2335
1,9.7900,swingup,-6.00,-3.0764,2.8656,-156.02,163.88,-1.2304,-0.3527,13.5274
2,9.7900,swingup,6.00,1.3526,1.1714,129.25,175.39,0.6687,0.3089,-4.7108
1,9.8900,swingup,-6.00,-2.7287,4.1370,-164.78,-151.87,-1.1988,1.9872,4.7326
2,9.8900,swingup,6.00,1.4220,0.1037,174.29,128.18,-0.0143,-0.3522,7.0880
1,9.9900,swingup,-6.00,-2.3312,3.5113,-168.14,-113.35,-0.5060,-0.7945,-9.4961
2,9.9900,swingup,6.00,1.4790,1.0822,-151.28,109.75,-0.0818,-0.5074,7.1729
1,10.0900,swingup,-6.00,-2.0188,2.7391,-172.65,-88.69,-1.0419,-2.8870,-4.9774
2,10.0900,swingup,6.00,1.6064,1.4760,-115.39,125.17,-0.2322,-1.1763,6.8150
1,10.1900,swingup,-6.00,-1.7621,2.4373,179.73,-75.58,-1.5312,1.3514,-0.9428
2,10.1900,swingup,6.00,1.7766,1.9623,-88.70,165.40,2.9429,1.6765,4.1892
1,10.2900,swingup,-6.00,-1.5203,2.4152,170.06,-74.74,-1.7771,-0.8479,-0.2341
2,10.2900,swingup,6.00,1.9879,2.2032,-88.26,-146.98,-2.3708,2.4519,0.8947
1,10.3900,swingup,-6.00,-1.2810,2.3199,159.79,-86.45,-1.7650,-3.0104,-3.1108
2,10.3900,swingup,6.00,2.1940,1.7658,-118.78,-88.14,-0.0689,-2.3996,2.2701
1,10.4900,swingup,-6.00,-1.0667,1.8587,150.60,-110.53,-1.3519,1.0856,-7.9163
2,10.4900,swingup,6.00,2.3462,1.1229,-148.87,-46.40,1.1476,-0.6404,-6.3472
1,10.5900,swingup,-6.00,-0.9243,0.6977,146.42,-149.34,-0.0272,-2.1359,-20.1598
2,10.5900,swingup,6.00,2.4405,0.9894,177.41,-26.36,-0.2004,1.4714,6.0592
1,10.6900,swingup,-6.00,-0.9624,-1.9816,153.95,141.67,1.3560,-1.7699,-26.8244
2,10.6900,swingup,6.00,2.5655,1.4083,141.91,-24.71,0.6978,0.3111,-5.1069
1,10.7900,swingup,-6.00,-1.1642,-1.3420,145.42,77.38,-2.5240,3.1368,14.4652
2,10.7900,swingup,6.00,2.6841,0.7989,116.19,-13.76,2.6703,-2.8845,-7.9594
1,10.8900,swingup,-6.00,-1.2455,-0.8159,127.56,29.16,2.2382,-0.8955,-17.9028
2,10.8900,swingup,6.00,2.7499,0.6734,99.67,11.44,-2.4108,-1.4652,-0.8607
1,10.9900,swingup,-6.00,-1.3755,-1.6455,102.10,1.61,2.1547,3.0652,-3.8327
2,10.9900,swingup,6.00,2.8109,0.4737,87.29,43.31,-2.1048,0.0806,-4.9730
1,11.0900,swingup,-6.00,-1.5443,-1.6701,83.74,-11.70,-2.4165,-1.9598,0.6736
2,11.0900,swingup,6.00,2.8426,0.1121,75.56,86.20,-1.5106,1.6268,-7.6139
1,11.1900,swingup,-6.00,-1.7064,-1.5277,75.18,-23.53,-0.7827,-2.3309,3.0094
2,11.1900,swingup,6.00,2.8372,-0.1883,79.11,126.27,2.4344,-0.0374,-2.1704
1,11.2900,swingup,-6.00,-1.8453,-1.1910,74.60,-40.59,0.3564,2.6885,4.8985
2,11.2900,swingup,6.00,2.8035,-0.4940,105.78,153.29,0.1224,3.0352,-5.6914
1,11.3900,swingup,-6.00,-1.9460,-0.7918,78.37,-66.44,0.8130,0.9681,4.9024
2,11.3900,swingup,6.00,2.7189,-1.8236,152.89,150.49,2.4980,-3.1159,-31.9166
1,11.4900,swingup,-6.00,-2.0136,-0.5820,84.80,-101.47,1.6787,-0.1551,3.2146
2,11.4900,swingup,6.00,2.4757,-2.4368,-168.10,145.07,-0.2845,1.3708,9.4024
1,11.5900,swingup,-6.00,-2.0668,-0.3972,103.56,-136.46,-1.5490,0.3004,4.3091
2,11.5900,swingup,6.00,2.2795,-1.2166,-137.20,171.97,-1.7324,1.3914,21.3041
1,11.6900,swingup,-6.00,-2.0954,-0.5793,143.75,177.35,-3.0049,0.6072,33.6650
2,11.6900,swingup,6.00,2.1932,-0.9689,-128.24,-124.67,-0.9996,0.1813,11.6170
1,11.7900,swingup,-6.00,-2.0660,1.3946,-152.80,119.33,-2.5266,2.1730,20.7934
2,11.7900,swingup,6.00,2.1034,-1.0193,-125.33,-64.12,1.8367,2.5017,-3.1773
1,11.8900,swingup,-6.00,-1.8997,1.3639,-92.92,133.95,-2.2611,0.6525,-10.0829
2,11.8900,swingup,6.00,1.9875,-1.2006,-110.24,-20.62,3.1032,0.4092,3.6290
1,11.9900,swingup,-6.00,-1.8223,0.3795,-41.76,-174.58,1.1528,-2.5841,-4.8059
2,11.9900,swingup,6.00,1.9122,-0.2476,-92.04,7.23,2.8359,-2.7484,8.1788
1,12.0900,swingup,-6.00,-1.8214,-0.6011,-10.45,-121.28,-2.0019,2.1557,-12.0451
2,12.0900,swingup,6.00,1.9200,0.4628,-81.23,21.68,1.0133,1.8734,6.6059
1,12.1900,swingup,-6.00,-1.9259,-1.3194,9.28,-77.37,2.5943,0.8700,1.6240
2,12.1900,swingup,6.00,1.9887,0.8780,-81.82,30.43,-0.9935,1.3830,1.7649
1,12.2900,swingup,-6.00,-2.0515,-1.1787,17.86,-39.90,0.8285,-0.2052,1.7226
2,12.2900,swingup,6.00,2.0804,0.9248,-93.60,37.76,-2.9574,1.0986,0.4176
1,12.3900,swingup,-6.00,-2.1610,-0.9700,20.25,-7.58,0.2027,-0.9560,2.9406
2,12.3900,swingup,6.00,2.1575,0.4644,-117.98,41.45,0.8121,0.1303,-4.2201
1,12.4900,swingup,-6.00,-2.2449,-0.6696,21.10,21.55,0.1561,-1.3107,3.5395
2,12.4900,swingup,6.00,2.1871,0.3185,-156.77,38.77,-0.8025,-0.1870,5.8871
1,12.5900,swingup,-6.00,-2.2968,-0.3282,22.54,50.77,0.3768,-0.9794,3.8906
2,12.5900,swingup,6.00,2.2201,0.1597,166.97,51.76,0.2862,-1.7592,-5.3771
1,12.6900,swingup,-6.00,-2.3124,0.0751,26.88,83.52,1.1907,-0.1764,5.2114
