t,phase,target_x,x,x_dot,theta1_deg,theta2_deg,theta1_dot,theta2_dot,u,ke,pe
18.0900,lqr,-3.00,-3.1454,-0.0443,2.19,2.27,-0.0606,-0.0606,0.4098,0.4826,-0.0363
18.1900,lqr,-3.00,-3.1484,-0.0134,1.86,1.93,-0.0552,-0.0554,0.3424,0.4826,-0.0363
18.2900,lqr,-3.00,-3.1486,0.0122,1.56,1.63,-0.0499,-0.0503,0.2818,0.4826,-0.0363
18.3900,lqr,-3.00,-3.1464,0.0330,1.29,1.36,-0.0448,-0.0453,0.2278,0.4826,-0.0363
18.4900,lqr,-3.00,-3.1423,0.0495,1.05,1.12,-0.0400,-0.0406,0.1799,0.4826,-0.0363
18.5900,lqr,-3.00,-3.1368,0.0623,0.83,0.90,-0.0354,-0.0360,0.1378,0.4826,-0.0363
18.6900,lqr,-3.00,-3.1301,0.0718,0.64,0.71,-0.0310,-0.0317,0.1012,0.4826,-0.0363
18.7900,lqr,-3.00,-3.1226,0.0785,0.48,0.54,-0.0270,-0.0277,0.0695,0.4826,-0.0363
18.8900,lqr,-3.00,-3.1145,0.0828,0.34,0.39,-0.0233,-0.0240,0.0425,0.4826,-0.0363
18.9900,lqr,-3.00,-3.1061,0.0851,0.21,0.26,-0.0198,-0.0206,0.0197,0.4826,-0.0363
19.0900,lqr,-3.00,-3.0976,0.0856,0.11,0.15,-0.0167,-0.0175,0.0006,0.4826,-0.0363
19.1900,lqr,-3.00,-3.0890,0.0847,0.02,0.06,-0.0139,-0.0146,-0.0150,0.4826,-0.0363
19.2900,lqr,-3.00,-3.0807,0.0826,-0.05,-0.01,-0.0114,-0.0121,-0.0277,0.4826,-0.0363
19.3900,lqr,-3.00,-3.0725,0.0796,-0.11,-0.07,-0.0091,-0.0098,-0.0376,0.4826,-0.0363
19.4900,lqr,-3.00,-3.0647,0.0759,-0.15,-0.12,-0.0072,-0.0078,-0.0451,0.4826,-0.0363
19.5900,lqr,-3.00,-3.0573,0.0717,-0.19,-0.16,-0.0054,-0.0060,-0.0506,0.4826,-0.0363
19.6900,lqr,-3.00,-3.0504,0.0672,-0.21,-0.19,-0.0039,-0.0044,-0.0544,0.4826,-0.0363
19.7900,lqr,-3.00,-3.0439,0.0624,-0.23,-0.21,-0.0026,-0.0031,-0.0566,0.4826,-0.0363
19.8900,lqr,-3.00,-3.0378,0.0575,-0.24,-0.23,-0.0015,-0.0019,-0.0575,0.4826,-0.0363
19.9900,lqr,-3.00,-3.0323,0.0526,-0.25,-0.23,-0.0006,-0.0010,-0.0574,0.4826,-0.0363
20.0900,lqr,-3.00,-3.0273,0.0477,-0.25,-0.24,0.0002,-0.0001,-0.0564,0.4826,-0.0363
20.1900,lqr,-3.00,-3.0227,0.0430,-0.25,-0.24,0.0009,0.0005,-0.0547,0.4826,-0.0363
